"product_id","license_plate","car_year","car_brand","car_model","car_type","car_transmission","car_engine_size","car_color","inspection_score","agent_id","branch_id","buy_date","buy_price","admin_fee","aging_fee","sell_date","sell_price"
142003,3178,2018,HONDA,BRIO,SATYA E,MT,"1.2",ABU ABU METALIK,107,148610,95,2022-09-06,15000.0,250.0,0.0,2022-09-06,15250.0
138370,4415,2017,NISSAN,GRAND LIVINA,XV,MT,"1.5",Puith,107,40422,303,2022-09-08,11250.0,250.0,0.0,2022-09-08,11500.0
138749,3688,2010,DAIHATSU,GRAN MAX,Standar PU,MT,"1.3",BIRU METALIK,74,10607,21,2022-08-30,3788.0,250.0,0.0,2022-08-31,4038.0
138615,2519,2014,TOYOTA,GRAND NEW INNOVA,E Bensin,AT,"2.0",Silver Metalic,107,3142,311,2022-08-26,15625.0,250.0,0.0,2022-08-26,15875.0
133523,8116,2009,TOYOTA,VIOS LIMO,STD 1.5 MT,MT,"1.5",Hitam,107,44477,141,2022-08-12,7250.0,250.0,62.0,2022-08-23,7562.0
136846,5097,2005,SUZUKI,AERIO,Aerio,MT,"1.5",HITAM METALIK,107,51556,125,2022-08-24,4812.0,250.0,0.0,2022-08-31,5062.0
135955,2076,2018,SUZUKI,NEW BALENO,GX 1.4 AT,AT,"1.4",Putih,107,96427,308,2022-08-23,18500.0,266.0,0.0,2022-09-02,18766.0
127245,396,2016,TOYOTA,GRAND NEW VELOZ,GRAND NEW VELOZ,MT,"1.5",Hitam,107,34646,154,2022-07-27,18125.0,266.0,125.0,2022-08-16,18516.0
141881,1833,2010,TOYOTA,RUSH,S,AT,"1.5",Hitam,107,17843,3,2022-08-17,13475.0,250.0,438.0,2022-09-30,13125.0
127665,2205,2016,SUZUKI,ERTIGA,DREZA  MT,MT,"1.4",Hitam,107,126920,377,2022-08-03,15625.0,250.0,250.0,2022-09-03,16125.0
135687,2193,2010,NISSAN,XTRAIL,ST 2.0 AT BENSIN,AT,"2.0",Hitam,107,67789,371,2022-08-11,10788.0,250.0,62.0,2022-08-31,11100.0
142432,5476,2011,TOYOTA,NEW AVANZA,VVT-i G,MT,"1.3",Silver,107,49167,69,2022-08-24,10625.0,250.0,0.0,2022-09-01,10875.0
134507,8319,2016,HONDA,BRIO,SATYA E,MT,"1.2",BIRU METALIK,104,108313,140,2022-08-27,12500.0,250.0,62.0,2022-09-11,12812.0
128760,4462,2018,TOYOTA,NEW RUSH,S TRD Sportivo 1.5 MTBensin,MT,"1.5",Putih,96,140465,273,2022-08-16,15625.0,250.0,0.0,2022-08-16,15875.0
138498,8455,2016,TOYOTA,SIENTA,V,AT,"1.5",Orange metalik,107,17700,46,2022-08-11,10750.0,250.0,0.0,2022-08-11,11000.0
134320,8451,2017,DAIHATSU,ALL NEW XENIA,X,MT,"1.3",Putih,107,17914,99,2022-08-31,13750.0,250.0,0.0,2022-09-01,14000.0
127954,3919,2018,HONDA,JAZZ,GK5 RS,MT,"1.5",Putih Mutiara,106,87387,151,2022-08-02,10000.0,250.0,0.0,2022-08-02,10250.0
134913,2936,2017,HONDA,HRV,E CVT,AT,"1.5",Hitam,107,129152,374,2022-08-14,26250.0,438.0,0.0,2022-08-16,26688.0
138756,435,2017,HONDA,BR-V,Prestige,AT,"1.5",ABU ABU METALIK,107,88549,296,2022-08-28,15500.0,250.0,0.0,2022-08-28,15750.0
136892,518,2012,ISUZU,MBRG/L. TRUCK BAK KAYU,NKR 71 HD E2-2,MT,"4.6",Putih,107,136299,60,2022-08-29,15625.0,250.0,0.0,2022-09-07,15875.0
133910,7747,2013,TOYOTA,ALL NEW AVANZA VELOZ,VVT-I LUXURY,AT,"1.5",Putih Mutiara,107,18084,26,2022-08-20,15000.0,250.0,0.0,2022-08-27,15250.0
138614,2058,2014,TOYOTA,NEW AVANZA,VVT-i G,MT,"1.3",Silver,107,101662,34,2022-08-29,14438.0,250.0,250.0,2022-09-28,14938.0
127805,6481,2007,NISSAN,ELGRAND,HWS 2.5 AT,AT,"2.5",Hitam,106,31764,123,2022-08-04,17500.0,266.0,0.0,2022-08-19,17766.0
126297,5633,2007,TOYOTA,AVANZA,G,MT,"1.3",BIRU METALIK,107,123277,269,2022-08-06,7500.0,250.0,0.0,2022-08-06,7750.0
140364,1360,2010,SUZUKI,APV,Arena SGX,MT,"1.5",PUTIH METALIK,107,121315,30,2022-08-28,7500.0,250.0,0.0,2022-08-28,7750.0
139757,4709,2021,HONDA,ALL NEW CR-V,PRESTIGE 1.5 TURBO,AT,"1.5",Hitam,107,147737,273,2022-08-15,13125.0,250.0,0.0,2022-08-15,13375.0
140362,2388,2018,DAIHATSU,NEW TERIOS,R,AT,"1.5",HITAM METALIK,106,5865,392,2022-08-27,15625.0,250.0,0.0,2022-08-27,15875.0
135116,2138,2014,HONDA,MOBILIO,E CVT Prestige,AT,"1.5",Putih,107,137585,402,2022-08-20,7875.0,250.0,0.0,2022-08-20,8125.0
137869,2291,2008,TOYOTA,INNOVA,G Bensin,MT,"2.0",Silver,107,17299,105,2022-09-04,12312.0,250.0,0.0,2022-09-04,12562.0
142580,4466,2011,TOYOTA,AVANZA,G,MT,"1.3",Silver Metalic,107,96046,126,2022-08-24,12000.0,250.0,0.0,2022-08-24,12250.0
137818,4480,2012,TOYOTA,ALL NEW AVANZA,VVT-i G,AT,"1.3",Puith,107,59854,127,2022-08-19,13250.0,250.0,0.0,2022-08-24,13500.0
137093,7915,1997,SUZUKI,KATANA,SC 2WD,MT,"1.0",Hitam,107,106579,32,2022-09-05,3750.0,250.0,0.0,2022-09-05,4000.0
139209,245,2015,TOYOTA,ALL NEW YARIS,TRD Sportivo,MT,"1.5",Hitam,106,61859,149,2022-08-15,15562.0,250.0,0.0,2022-08-16,15812.0
139433,5409,2018,DAIHATSU,SIGRA,X,AT,"1.2",Putih,107,135852,390,2022-08-11,12538.0,250.0,0.0,2022-08-11,12788.0
